filepath,testclass,testname,assertion type,line number,assert string
./projects/sonnet\sonnet\src\recurrent_test.py,ConvNDLSTMTest_class,testComputationAgainstNumPy,assertAllClose,399,"self.assertAllClose(outputs, next_state.hidden, atol=atol)"
./projects/sonnet\sonnet\src\recurrent_test.py,ConvNDLSTMTest_class,testComputationAgainstNumPy,assertAllClose,400,"self.assertAllClose(expected_hidden, next_state.hidden, atol=atol)"
./projects/sonnet\sonnet\src\recurrent_test.py,ConvNDLSTMTest_class,testComputationAgainstNumPy,assertAllClose,401,"self.assertAllClose(expected_cell, next_state.cell, atol=atol)"
./projects/sonnet\sonnet\src\recurrent_test.py,ConvNDLSTMTest_class,testInitialization,assertAllClose,439,"self.assertAllClose(self.evaluate(v), self.evaluate(tf.ones_like(v)))"
./projects/sonnet\sonnet\src\recurrent_test.py,GRUTest_class,testComputationAgainstNumPy,assertAllClose,470,"self.assertAllClose(outputs, next_state, atol=atol)"
./projects/sonnet\sonnet\src\recurrent_test.py,GRUTest_class,testComputationAgainstNumPy,assertAllClose,471,"self.assertAllClose(self.evaluate(next_state), expected_state, atol=atol)"
./projects/sonnet\sonnet\src\recurrent_test.py,GRUTest_class,testInitialization,assertAllClose,493,"self.assertAllClose(self.evaluate(v), self.evaluate(tf.ones_like(v)))"
./projects/sonnet\sonnet\src\recurrent_test.py,CuDNNGRUTest_class,testComputationAgainstTF,assertAllClose,547,"self.assertAllClose(outputs, expected_outputs)"
./projects/sonnet\sonnet\src\recurrent_test.py,CuDNNGRUTest_class,testComputationAgainstTF,assertAllClose,548,"self.assertAllClose(states[-1], expected_final_state)"
./projects/sonnet\sonnet\src\recurrent_test.py,CuDNNGRUTest_class,testInitialization,assertAllClose,570,"self.assertAllClose(self.evaluate(v), self.evaluate(tf.ones_like(v)))"
./projects/sonnet\sonnet\src\recurrent_test.py,TrainableStateTest_class,testMasked,assertAllClose,657,"self.assertAllClose(s, tf.zeros_like(s))"
./projects/sonnet\sonnet\src\recurrent_test.py,TrainableStateTest_class,testForCore,assertAllClose,662,"self.assertAllClose(
        trainable_state(batch_size=42), core.initial_state(batch_size=42))"
./projects/sonnet\sonnet\src\recurrent_test.py,UnrollTest_class,testFlat,assertAllClose,703,"self.assertAllClose(
        output_sequence,
        [inputs * (h + t) for t, inputs in enumerate(input_sequence)])"
./projects/sonnet\sonnet\src\recurrent_test.py,UnrollTest_class,testFlat,assertAllClose,706,"self.assertAllClose(final_state, (tf.cast(self.num_steps, tf.float32), h))"
./projects/sonnet\sonnet\src\recurrent_test.py,UnrollTest_class,testNestedInputs,assertAllClose,720,"self.assertAllClose(
        output_sequence,
        [inputs * (h + t) for t, inputs in enumerate(input_sequence)])"
./projects/sonnet\sonnet\src\recurrent_test.py,UnrollTest_class,testNestedInputs,assertAllClose,723,"self.assertAllClose(final_state, (tf.cast(self.num_steps, tf.float32), h))"
./projects/sonnet\sonnet\src\recurrent_test.py,UnrollTest_class,testNestedOutputs,assertAllClose,739,"self.assertAllClose(output_sequence, (expected_outputs,) * num_replicas)"
./projects/sonnet\sonnet\src\recurrent_test.py,UnrollTest_class,testNestedOutputs,assertAllClose,740,"self.assertAllClose(final_state, (tf.cast(self.num_steps, tf.float32), h))"
./projects/sonnet\sonnet\src\recurrent_test.py,UnrollTest_class,testVariableLengthOneZeroLength,assertAllClose,816,"self.assertAllClose(output_sequence[t, b], output_sequence[t - 1,
                                                                       b])"
./projects/sonnet\sonnet\src\recurrent_test.py,UnrollTest_class,testVariableLengthRange,assertAllClose,816,"self.assertAllClose(output_sequence[t, b], output_sequence[t - 1,
                                                                       b])"
./projects/sonnet\sonnet\src\recurrent_test.py,UnrollTest_class,testVariableLengthAllFull,assertAllClose,832,"self.assertAllClose(output_sequence, expected_output_sequence)"
./projects/sonnet\sonnet\src\recurrent_test.py,UnrollTest_class,testVariableLengthAllFull,assertAllClose,833,"self.assertAllClose(final_state, expected_final_state)"
./projects/sonnet\sonnet\src\recurrent_test.py,UnrollTest_class,testVariableLengthAllEmpty,assertAllClose,846,"self.assertAllClose(output_sequence, tf.zeros_like(output_sequence))"
./projects/sonnet\sonnet\src\recurrent_test.py,UnrollTest_class,testVariableLengthAllEmpty,assertAllClose,848,"self.assertAllClose(final_state[0], self.num_steps)"
./projects/sonnet\sonnet\src\recurrent_test.py,UnrollTest_class,testVariableLengthAllEmpty,assertAllClose,849,"self.assertAllClose(final_state[1], initial_state[1])"
./projects/sonnet\sonnet\src\regularizers_test.py,L1Test_class,testAgainstNumPy,assertAllClose,32,"self.assertAllClose(
        regularizer(tensors),
        sum(l1(regularizer.scale, self.evaluate(t)) for t in tensors))"
./projects/sonnet\sonnet\src\regularizers_test.py,L1Test_class,testEmpty,assertAllClose,41,"self.assertAllClose(regularizers.L1(0.01)([]), 0.0)"
./projects/sonnet\sonnet\src\regularizers_test.py,L2Test_class,testAgainstNumPy,assertAllClose,53,"self.assertAllClose(
        regularizer(tensors),
        sum(l2(regularizer.scale, self.evaluate(t)) for t in tensors))"
./projects/sonnet\sonnet\src\regularizers_test.py,L2Test_class,testEmpty,assertAllClose,62,"self.assertAllClose(regularizers.L2(0.01)([]), 0.0)"
./projects/sonnet\sonnet\src\regularizers_test.py,OffDiagonalOrthogonalTest_class,testAgainstNumPy,assertAllClose,76,"self.assertAllClose(
        regularizer(tensors),
        sum(odo(regularizer.scale, self.evaluate(t)) for t in tensors),
        atol=atol)"
./projects/sonnet\sonnet\src\regularizers_test.py,OffDiagonalOrthogonalTest_class,testEmpty,assertAllClose,86,"self.assertAllClose(regularizers.OffDiagonalOrthogonal(0.01)([]), 0.0)"
./projects/sonnet\sonnet\src\reshape_test.py,ReshapeTest_class,testReverse,assertAllClose,118,"self.assertAllClose(output_r_np, input_np)"
./projects/sonnet\sonnet\src\conformance\checkpoint_test.py,GoldenCheckpointsTest_class,test_save_load,assertAllClose,92,"self.assertAllClose(
          variable.read_value(),
          goldens.range_like(variable),
          msg=variable.name)"
./projects/sonnet\sonnet\src\conformance\checkpoint_test.py,GoldenCheckpointsTest_class,test_save_then_load_new_instance,assertAllClose,121,"self.assertAllClose(
          variable.read_value(),
          goldens.range_like(variable),
          msg=variable.name)"
./projects/sonnet\sonnet\src\conformance\checkpoint_test.py,ReplicatorCheckpointTest_class,test_restore_on_create_in_replica_context,assertAllClose,371,"self.assertAllClose(
            normal.read_value(), distributed.read_value(), msg=normal.name)"
./projects/sonnet\sonnet\src\distribute\distributed_batch_norm_test.py,CrossReplicaBatchNormTest_class,testWithMultipleDevicesMirrored,assertAllClose,78,"self.assertAllClose(out, expected_out)"
./projects/sonnet\sonnet\src\distribute\distributed_batch_norm_test.py,CrossReplicaBatchNormTest_class,testWithTpuStrategy,assertAllClose,116,"self.assertAllClose(out, expected_out)"
./projects/sonnet\sonnet\src\functional\haiku_test.py,NetworkTest_class,test_state_ema,assertAllClose,232,"self.assertAllClose(y.numpy(), 3.0)"
./projects/sonnet\sonnet\src\functional\haiku_test.py,NetworkTest_class,test_state_ema,assertAllClose,234,"self.assertAllClose(y.numpy(), 5.0)"
./projects/sonnet\sonnet\src\functional\jax_test.py,GradTest_class,test_grad,assertAllClose,58,"self.assertAllClose(g(x).numpy(), (2 * x).numpy())"
./projects/sonnet\sonnet\src\functional\jax_test.py,GradTest_class,test_argnums,assertAllClose,66,"self.assertAllClose(gx.numpy(), (2 * x).numpy())"
./projects/sonnet\sonnet\src\functional\jax_test.py,GradTest_class,test_argnums,assertAllClose,67,"self.assertAllClose(gy.numpy(), (2 * y).numpy(), rtol=1e-3)"
./projects/sonnet\sonnet\src\functional\jax_test.py,GradTest_class,test_has_aux,assertAllClose,74,"self.assertAllClose(gx.numpy(), (2 * x).numpy())"
./projects/sonnet\sonnet\src\functional\optimizers_test.py,OptimizersTest_class,test_sgd,assertAllClose,41,"self.assertAllClose(p.numpy(), 1. - (0.01 * 1))"
./projects/sonnet\sonnet\src\nets\vqvae_test.py,VqvaeTest_class,testConstruct,assertAllClose,68,"self.assertAllClose(distances, vq_output_np['distances'], atol=4e-2)"
./projects/sonnet\sonnet\src\nets\dnc\control_test.py,FeedForwardTest_class,testValues,assertAllClose,74,"self.assertAllClose(output.numpy(), expected_output, atol=1e-2)"
./projects/sonnet\sonnet\src\nets\dnc\control_test.py,FeedForwardTest_class,testValues,assertAllClose,76,"self.assertAllClose(prev_state.numpy(), next_state.numpy(), atol=5e-3)"
./projects/sonnet\sonnet\src\nets\dnc\read_test.py,ReadTest_class,testValues,assertAllClose,50,"self.assertAllClose(
        mem.numpy()[0, indices, :], read_values.numpy()[0, ...], atol=2e-3)"
./projects/sonnet\sonnet\src\nets\dnc\util_test.py,LinearTest_class,testLinearOutputOneModule,assertAllClose,126,"self.assertAllClose(expected_output, output.numpy(), atol=self.get_atol())"
./projects/sonnet\sonnet\src\nets\dnc\util_test.py,LinearTest_class,testLinearOutputTwoModules,assertAllClose,142,"self.assertAllClose(expected_output, output.numpy(), atol=self.get_atol())"
./projects/sonnet\sonnet\src\nets\dnc\write_test.py,EraseRowsTest_class,testValues,assertAllClose,64,"self.assertAllClose(
        erased_mem_np[0, indices_np, :],
        np.zeros((num_writes, word_size)),
        atol=2e-3)"
./projects/sonnet\sonnet\src\nets\dnc\write_test.py,EraseRowsTest_class,testValues,assertAllClose,70,"self.assertAllClose(
        erased_mem_np[0, excluded_indices_np, :],
        mem_np[0, excluded_indices_np, :],
        atol=2e-3)"
./projects/sonnet\sonnet\src\nets\dnc\write_test.py,EraseTest_class,testValues,assertAllClose,117,"self.assertAllClose(
        erased_mem_np[0, indices, :],
        np.zeros((num_writes, word_size)),
        atol=2e-3)"
./projects/sonnet\sonnet\src\nets\dnc\write_test.py,EraseTest_class,testValues,assertAllClose,123,"self.assertAllClose(
        erased_mem_np[0, excluded_indices, :],
        mem_np[0, excluded_indices, :],
        atol=2e-3)"
./projects/sonnet\sonnet\src\nets\dnc\write_test.py,EraseAndWriteTest_class,testValues,assertAllClose,169,"self.assertAllClose(
        written_mem.numpy()[0, indices, :], write_values.numpy()[0], atol=2e-3)"
./projects/sonnet\sonnet\src\nets\dnc\write_test.py,AdditiveWriteTest_class,testValues,assertAllClose,211,"self.assertAllClose(
        written_mem.numpy()[0, indices, :],
        write_values_np[0] + mem_np[0, indices, :],
        atol=2e-3)"
./projects/sonnet\sonnet\src\nets\dnc\write_test.py,AdditiveWriteTest_class,testValues,assertAllClose,218,"self.assertAllClose(written_mem_copy, mem_np, atol=2e-3)"
./projects/sonnet\sonnet\src\nets\dnc\write_test.py,AdditiveWriteTest_class,testValues,assertAllClose,220,"self.assertAllClose(not_written_mem_np, mem_np, atol=2e-3)"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testDense,assertAllClose,65,"self.assertAllClose([[0.999, 1.999], [2.999, 3.999]],
                        [x.numpy() for x in parameters])"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testDense,assertAllClose,69,"self.assertAllClose([[0.998, 1.998], [2.998, 3.998]],
                        [x.numpy() for x in parameters])"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testDense,assertAllClose,73,"self.assertAllClose([[0.997, 1.997], [2.997, 3.997]],
                        [x.numpy() for x in parameters])"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testSparse,assertAllClose,97,"self.assertAllClose([[0.999], [2.0]], parameters[0].numpy())"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testSparse,assertAllClose,98,"self.assertAllClose([[3.0], [3.999]], parameters[1].numpy())"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testSparse,assertAllClose,100,"self.assertAllClose(tf_parameters[0].numpy(), parameters[0].numpy())"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testSparse,assertAllClose,101,"self.assertAllClose(tf_parameters[1].numpy(), parameters[1].numpy())"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testSparse,assertAllClose,104,"self.assertAllClose([[0.998], [2.0]], parameters[0].numpy())"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testSparse,assertAllClose,105,"self.assertAllClose([[3.0], [3.998]], parameters[1].numpy())"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testSparse,assertAllClose,107,"self.assertAllClose(tf_parameters[0].numpy(), parameters[0].numpy())"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testSparse,assertAllClose,108,"self.assertAllClose(tf_parameters[1].numpy(), parameters[1].numpy())"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testSparse,assertAllClose,111,"self.assertAllClose([[0.997], [2.0]], parameters[0].numpy())"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testSparse,assertAllClose,112,"self.assertAllClose([[3.0], [3.997]], parameters[1].numpy())"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testSparse,assertAllClose,114,"self.assertAllClose(tf_parameters[0].numpy(), parameters[0].numpy())"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testSparse,assertAllClose,115,"self.assertAllClose(tf_parameters[1].numpy(), parameters[1].numpy())"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testVariableHyperParams,assertAllClose,123,"self.assertAllClose([[0.999, 1.999], [2.999, 3.999]],
                        [x.numpy() for x in parameters])"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testVariableHyperParams,assertAllClose,128,"self.assertAllClose([[0.899, 1.899], [2.899, 3.899]],
                        [x.numpy() for x in parameters],
                        rtol=1e-4)"
./projects/sonnet\sonnet\src\optimizers\adam_test.py,AdamTest_class,testHyperParamDTypeConversion,assertAllClose,143,"self.assertAllClose([[0.999, 1.999], [2.999, 3.999]],
                        [x.numpy() for x in parameters],
                        rtol=1e-4)"
./projects/sonnet\sonnet\src\optimizers\momentum_test.py,ReferenceMomentumTest,testDense,assertAllClose,64,"self.assertAllClose([[0.5, 1.5], [2.7, 3.7]],
                        [x.numpy() for x in parameters])"
./projects/sonnet\sonnet\src\optimizers\momentum_test.py,ReferenceMomentumTest,testDense,assertAllClose,68,"self.assertAllClose([[-0.45, 0.55], [2.13, 3.13]],
                        [x.numpy() for x in parameters])"
./projects/sonnet\sonnet\src\optimizers\momentum_test.py,ReferenceMomentumTest,testDense,assertAllClose,72,"self.assertAllClose([[-1.805, -0.805], [1.317, 2.317]],
                        [x.numpy() for x in parameters])"
./projects/sonnet\sonnet\src\optimizers\momentum_test.py,ReferenceMomentumTest,testDenseNesterov,assertAllClose,82,"self.assertAllClose([[0.05, 1.05], [2.43, 3.43]],
                        [x.numpy() for x in parameters])"
